step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,0.48637107014656067,0.0002
2,0.8,2.8434,,0.5849331617355347,0.0002
3,1.0,2.4641,,0.6817620396614075,0.0002
3,1.0,,2.8413913249969482,,
4,1.4,2.6351,,0.6025456190109253,0.0002
5,1.8,2.3989,,0.5616775155067444,0.0002
6,2.0,2.8841,,1.014837384223938,0.0002
6,2.0,,2.817331314086914,,
7,2.4,2.3821,,0.6258858442306519,0.0002
8,2.8,2.597,,0.761078953742981,0.0002
9,3.0,2.8412,,1.1790719032287598,0.0002
9,3.0,,2.7867186069488525,,
9,3.0,,,,
