step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,1.4293956756591797,0.0002
2,0.8,2.837,,1.8630428314208984,0.0002
3,1.0,2.4538,,1.832385778427124,0.0002
3,1.0,,2.811249017715454,,
4,1.4,2.6185,,1.6829782724380493,0.0002
5,1.8,2.375,,1.5084398984909058,0.0002
6,2.0,2.8301,,2.959486722946167,0.0002
6,2.0,,2.746958017349243,,
7,2.4,2.3468,,1.5909680128097534,0.0002
8,2.8,2.5548,,1.8572617769241333,0.0002
9,3.0,2.7532,,3.0929548740386963,0.0002
9,3.0,,2.67427396774292,,
9,3.0,,,,
