step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.980455160140991,,
1,0.4,2.4931,,2.1498961448669434,0.0002
2,0.8,2.9437,,2.7389020919799805,0.0002
3,1.0,2.4719,,2.6707184314727783,0.0002
3,1.0,,2.834660291671753,,
4,1.4,2.6105,,2.487422227859497,0.0002
5,1.8,2.3214,,2.1579086780548096,0.0002
6,2.0,2.8254,,4.134693145751953,0.0002
6,2.0,,2.6692137718200684,,
7,2.4,2.236,,2.2297778129577637,0.0002
8,2.8,2.4134,,2.4846205711364746,0.0002
9,3.0,2.607,,4.443641662597656,0.0002
9,3.0,,2.5165576934814453,,
9,3.0,,,,
