step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,4.796021461486816,5e-05
2,0.8,2.8105,,5.901753902435303,5e-05
3,1.0,2.4058,,5.479206085205078,5e-05
3,1.0,,2.7233786582946777,,
4,1.4,2.5392,,4.69890832901001,5e-05
5,1.8,2.2519,,4.439189434051514,5e-05
6,2.0,2.6383,,8.206457138061523,5e-05
6,2.0,,2.5898678302764893,,
7,2.4,2.1761,,4.324376583099365,5e-05
8,2.8,2.38,,4.333396911621094,5e-05
9,3.0,2.4596,,7.380051612854004,5e-05
9,3.0,,2.469073534011841,,
9,3.0,,,,
