step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,2.3673553466796875,5e-05
2,0.8,2.838,,2.9921579360961914,5e-05
3,1.0,2.4558,,2.8665783405303955,5e-05
3,1.0,,2.8217151165008545,,
4,1.4,2.6224,,2.564695119857788,5e-05
5,1.8,2.3802,,2.3682701587677,5e-05
6,2.0,2.8505,,4.519741058349609,5e-05
6,2.0,,2.7822234630584717,,
7,2.4,2.3581,,2.3861746788024902,5e-05
8,2.8,2.5748,,2.5645532608032227,5e-05
9,3.0,2.7964,,4.550594329833984,5e-05
9,3.0,,2.742248058319092,,
9,3.0,,,,
