step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,4.796021461486816,0.0002
2,0.8,2.7097,,5.513493537902832,0.0002
3,1.0,2.2368,,4.99683952331543,0.0002
3,1.0,,2.39289927482605,,
4,1.4,2.255,,3.8196704387664795,0.0002
5,1.8,1.8457,,3.5982253551483154,0.0002
6,2.0,2.0404,,5.622264385223389,0.0002
6,2.0,,2.104227304458618,,
7,2.4,1.656,,3.3625736236572266,0.0002
8,2.8,1.8366,,3.2657060623168945,0.0002
9,3.0,1.67,,4.728238582611084,0.0002
9,3.0,,1.926065444946289,,
9,3.0,,,,
