step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,2.3673553466796875,0.0002
2,0.8,2.8095,,2.9428696632385254,0.0002
3,1.0,2.4019,,2.805297613143921,0.0002
3,1.0,,2.709198236465454,,
4,1.4,2.5293,,2.4926674365997314,0.0002
5,1.8,2.2363,,2.366171360015869,0.0002
6,2.0,2.607,,4.392916202545166,0.0002
6,2.0,,2.538949728012085,,
7,2.4,2.1405,,2.4116625785827637,0.0002
8,2.8,2.3288,,2.49530029296875,0.0002
9,3.0,2.3812,,4.087469100952148,0.0002
9,3.0,,2.37314772605896,,
9,3.0,,,,
