step,epoch,batch_size,loss_before,loss_after,weight_grad_norm,bias_grad_norm,train_loss,validation_loss
0,0,0,,,,,0.6931471824645996,0.6931471824645996
1,1,2,0.6931471824645996,0.5593405961990356,0.4714045524597168,0.7071067690849304,0.6607182025909424,0.6665835380554199
2,1,2,0.7620958685874939,0.6289980411529541,0.3757822811603546,0.7541716694831848,0.6261993646621704,0.6353221535682678
3,2,2,0.6353883743286133,0.6139140725135803,0.32928821444511414,0.01875448413193226,0.6017941236495972,0.6140751838684082
4,2,2,0.5896741151809692,0.557020902633667,0.40749600529670715,0.03591025248169899,0.5727435946464539,0.588484525680542
5,3,2,0.5241829752922058,0.4800741672515869,0.47738614678382874,0.019292540848255157,0.5404155254364014,0.5597884654998779
6,3,2,0.6007568836212158,0.5917307138442993,0.21287328004837036,0.008272593840956688,0.5266062021255493,0.5475061535835266
7,4,2,0.5917307138442993,0.5829041004180908,0.21053223311901093,0.007437991444021463,0.5132986307144165,0.5356256365776062
8,4,2,0.4436931610107422,0.4098898768424988,0.4165398180484772,0.03180529922246933,0.4878447949886322,0.5125404000282288
9,5,2,0.4999781847000122,0.42821013927459717,0.269924521446228,0.555196225643158,0.47339925169944763,0.49664783477783203
10,5,2,0.5185883045196533,0.43664586544036865,0.3439418077468872,0.566249430179596,0.4528086185455322,0.4807027578353882
11,6,2,0.5411838293075562,0.5334495306015015,0.19700436294078827,0.008616270497441292,0.44215670228004456,0.4709838628768921
12,6,2,0.3508639335632324,0.3279387056827545,0.34045833349227905,0.04470769315958023,0.4241657853126526,0.45407071709632874
13,7,2,0.3953455686569214,0.3789464831352234,0.26874902844429016,0.10569056868553162,0.41036325693130493,0.44045311212539673
14,7,2,0.4417800307273865,0.42929548025131226,0.23608273267745972,0.08632253855466843,0.3990614414215088,0.4305303692817688
15,8,2,0.29671555757522583,0.2794491946697235,0.2939298152923584,0.046695973724126816,0.3850855529308319,0.4170078635215759
16,8,2,0.4907218813896179,0.48401501774787903,0.1827549785375595,0.01810360886156559,0.376803457736969,0.4093329906463623
17,9,2,0.2695918381214142,0.2549513876438141,0.2696569263935089,0.04774130508303642,0.36473336815834045,0.3974456489086151
18,9,2,0.4745153784751892,0.46812868118286133,0.17802177369594574,0.020707285031676292,0.3571430444717407,0.3903923034667969
19,10,2,0.3247683048248291,0.3126213550567627,0.214590385556221,0.12526972591876984,0.34790682792663574,0.3803461790084839
20,10,2,0.383192241191864,0.37267690896987915,0.2040378749370575,0.10814262926578522,0.3398166298866272,0.3736036717891693
21,11,2,0.32930082082748413,0.2928393483161926,0.2072976976633072,0.38582754135131836,0.3339090943336487,0.37200117111206055
22,11,2,0.37497878074645996,0.3305339217185974,0.20482704043388367,0.4384007751941681,0.32359516620635986,0.3573641777038574
23,12,2,0.3166564106941223,0.2829388976097107,0.1963072568178177,0.37218451499938965,0.3181372880935669,0.3561936318874359
24,12,2,0.3533356189727783,0.3131505250930786,0.19361945986747742,0.4169590473175049,0.3090834319591522,0.34271156787872314
25,13,2,0.19097864627838135,0.18299254775047302,0.19655224680900574,0.04555197432637215,0.30202963948249817,0.3352685570716858
26,13,2,0.4210667312145233,0.4156567454338074,0.16181151568889618,0.0323958694934845,0.29645732045173645,0.3301470875740051
27,14,2,0.33140426874160767,0.32254940271377563,0.17644450068473816,0.11771487444639206,0.2907661497592926,0.32593318819999695
28,14,2,0.25898289680480957,0.2498643845319748,0.16125261783599854,0.14294631779193878,0.285086989402771,0.31860077381134033
29,15,2,0.16506966948509216,0.15891732275485992,0.17117872834205627,0.04472903534770012,0.2794882655143738,0.3124903440475464
30,15,2,0.40005916357040405,0.3950307369232178,0.15521548688411713,0.03504147753119469,0.27459943294525146,0.30805128812789917
31,16,2,0.3950307369232178,0.39013898372650146,0.15366169810295105,0.031793106347322464,0.26987287402153015,0.3037395179271698
32,16,2,0.14960677921772003,0.14444048702716827,0.15534964203834534,0.04609198868274689,0.2650794982910156,0.2983572781085968
33,17,2,0.30003243684768677,0.29198703169822693,0.15858039259910583,0.12569458782672882,0.2606004774570465,0.29552552103996277
34,17,2,0.2292139083147049,0.22131802141666412,0.1385570615530014,0.14507049322128296,0.25628530979156494,0.2892775237560272
35,18,2,0.13559317588806152,0.1312764585018158,0.14163781702518463,0.04304933547973633,0.2521960735321045,0.28458353877067566
36,18,2,0.3731156587600708,0.36857151985168457,0.14656098186969757,0.037544697523117065,0.24809539318084717,0.2809522747993469
37,19,2,0.2477763593196869,0.22612935304641724,0.13732858002185822,0.3062974512577057,0.24462810158729553,0.27328187227249146
38,19,2,0.2631268799304962,0.24017685651779175,0.14797133207321167,0.31227871775627136,0.24030053615570068,0.27315834164619446
39,20,2,0.3603271245956421,0.3560771346092224,0.14243704080581665,0.033297181129455566,0.23655283451080322,0.2698357105255127
40,20,2,0.11702851951122284,0.11370425671339035,0.12222950160503387,0.04375036433339119,0.2333134114742279,0.2659311890602112
