step,epoch,loss,eval_loss,grad_norm,learning_rate
0,,,2.8582310676574707,,
1,0.4,2.4271,,3.520129442214966,0.0002
2,0.8,2.7735,,4.232198238372803,0.0002
3,1.0,2.3362,,3.8787577152252197,0.0002
3,1.0,,2.5792641639709473,,
4,1.4,2.4197,,3.3658082485198975,0.0002
5,1.8,2.0709,,3.1323630809783936,0.0002
6,2.0,2.3386,,5.26351261138916,0.0002
6,2.0,,2.3155364990234375,,
7,2.4,1.9176,,3.023994207382202,0.0002
8,2.8,2.0951,,2.9101624488830566,0.0002
9,3.0,2.0172,,4.623836517333984,0.0002
9,3.0,,2.128405809402466,,
9,3.0,,,,
